,location,total_sqft,bath,price,bhk
38,5th Block Hbr Layout,1270.0,2,70.0,3
39,5th Block Hbr Layout,1312.0,2,69.0,2
40,5th Block Hbr Layout,1100.0,2,48.0,2
41,5th Block Hbr Layout,3600.0,5,130.0,5
42,5th Block Hbr Layout,5100.0,5,300.0,6
43,5th Phase JP Nagar,1075.0,2,60.0,2
44,5th Phase JP Nagar,1150.0,3,52.5,2
45,5th Phase JP Nagar,1256.0,2,62.8,2
46,5th Phase JP Nagar,1207.0,2,63.0,2
47,5th Phase JP Nagar,1725.0,2,100.0,3
48,5th Phase JP Nagar,1440.0,2,60.0,2
49,5th Phase JP Nagar,1700.0,2,100.0,3
50,5th Phase JP Nagar,2500.0,5,110.0,5
51,5th Phase JP Nagar,600.0,1,30.0,1
52,5th Phase JP Nagar,1390.0,2,65.0,2
53,5th Phase JP Nagar,1256.0,2,62.8,2
54,5th Phase JP Nagar,1000.0,2,48.0,2
55,5th Phase JP Nagar,1350.0,2,75.0,3
56,5th Phase JP Nagar,552.0,1,23.5,1
57,5th Phase JP Nagar,1200.0,2,51.0,2
58,5th Phase JP Nagar,1030.0,2,57.0,2
59,5th Phase JP Nagar,1200.0,2,68.0,2
60,5th Phase JP Nagar,1190.0,2,61.8,2
61,5th Phase JP Nagar,4000.0,5,170.0,5
62,5th Phase JP Nagar,1080.0,2,53.0,2
63,5th Phase JP Nagar,1041.0,2,54.0,2
64,5th Phase JP Nagar,812.0,2,42.0,2
65,5th Phase JP Nagar,1010.0,2,57.0,2
66,5th Phase JP Nagar,1075.0,2,60.0,2
67,6th Phase JP Nagar,1192.0,2,74.0,2
68,6th Phase JP Nagar,1180.0,2,80.0,2
69,6th Phase JP Nagar,3245.0,4,250.0,4
70,6th Phase JP Nagar,1645.0,3,100.0,3
71,6th Phase JP Nagar,1140.0,2,65.0,2
72,6th Phase JP Nagar,2040.0,3,200.0,3
73,6th Phase JP Nagar,1213.0,2,63.0,2
74,6th Phase JP Nagar,1216.0,2,60.0,2
75,6th Phase JP Nagar,1460.0,2,80.0,2
76,6th Phase JP Nagar,2003.0,3,200.0,3
77,6th Phase JP Nagar,1810.0,3,131.0,3
78,6th Phase JP Nagar,1515.0,2,135.0,3
79,6th Phase JP Nagar,1192.0,2,75.0,2
80,6th Phase JP Nagar,1280.0,2,88.0,2
81,7th Phase JP Nagar,1080.0,2,72.0,2
82,7th Phase JP Nagar,1270.0,2,93.0,2
83,7th Phase JP Nagar,1420.0,2,100.0,3
84,7th Phase JP Nagar,1850.0,3,150.0,3
85,7th Phase JP Nagar,1245.0,2,94.0,2
86,7th Phase JP Nagar,1175.0,2,82.0,2
87,7th Phase JP Nagar,1400.0,2,95.0,3
88,7th Phase JP Nagar,2225.0,3,160.0,3
89,7th Phase JP Nagar,1050.0,2,71.0,2
90,7th Phase JP Nagar,1100.0,2,46.0,2
91,7th Phase JP Nagar,918.0,2,50.49,2
92,7th Phase JP Nagar,1450.0,2,100.0,3
93,7th Phase JP Nagar,1190.0,2,49.98,2
94,7th Phase JP Nagar,1420.0,2,96.0,3
95,7th Phase JP Nagar,1680.0,3,120.0,3
96,7th Phase JP Nagar,980.0,2,69.0,2
97,7th Phase JP Nagar,1180.0,2,72.0,2
98,7th Phase JP Nagar,1400.0,3,115.0,3
99,7th Phase JP Nagar,1270.0,2,83.0,2
100,7th Phase JP Nagar,2503.0,4,188.0,4
101,7th Phase JP Nagar,2200.0,3,190.0,3
102,7th Phase JP Nagar,1575.0,2,110.0,3
103,7th Phase JP Nagar,1850.0,3,140.0,3
104,7th Phase JP Nagar,1575.0,2,120.0,3
105,7th Phase JP Nagar,1850.0,3,150.0,3
106,7th Phase JP Nagar,1680.0,3,120.0,3
107,7th Phase JP Nagar,1175.0,2,82.5,2
108,7th Phase JP Nagar,1215.0,2,90.0,2
109,7th Phase JP Nagar,1050.0,2,75.0,2
110,7th Phase JP Nagar,1300.0,3,89.13,3
111,7th Phase JP Nagar,1130.0,2,73.0,2
112,7th Phase JP Nagar,1450.0,3,100.0,3
113,7th Phase JP Nagar,1050.0,2,50.0,2
114,7th Phase JP Nagar,1275.0,2,87.0,2
115,7th Phase JP Nagar,1650.0,3,110.0,3
116,7th Phase JP Nagar,850.0,2,42.0,2
117,7th Phase JP Nagar,1680.0,3,117.0,3
118,7th Phase JP Nagar,1850.0,3,150.0,3
119,7th Phase JP Nagar,1236.0,2,61.33,2
120,7th Phase JP Nagar,1000.0,2,53.0,2
121,7th Phase JP Nagar,1680.0,3,125.0,3
122,7th Phase JP Nagar,1675.0,2,135.0,3
123,7th Phase JP Nagar,1187.0,2,59.0,2
124,7th Phase JP Nagar,1850.0,3,155.0,3
125,7th Phase JP Nagar,1000.0,2,61.0,2
126,7th Phase JP Nagar,1460.0,2,100.0,3
127,7th Phase JP Nagar,1650.0,3,110.0,3
128,7th Phase JP Nagar,1200.0,2,62.5,2
129,7th Phase JP Nagar,1000.0,2,70.65,2
130,7th Phase JP Nagar,1080.0,2,75.0,2
131,7th Phase JP Nagar,1680.0,3,125.0,3
132,7th Phase JP Nagar,1460.0,2,97.0,3
133,7th Phase JP Nagar,1120.0,2,65.0,2
134,7th Phase JP Nagar,1100.0,3,60.0,2
135,7th Phase JP Nagar,1790.0,3,120.0,3
136,7th Phase JP Nagar,1680.0,3,117.0,3
137,7th Phase JP Nagar,1050.0,2,77.0,2
138,7th Phase JP Nagar,1050.0,2,75.0,2
139,7th Phase JP Nagar,1040.0,2,75.0,2
140,7th Phase JP Nagar,1400.0,2,95.0,3
141,7th Phase JP Nagar,1800.0,3,130.0,3
142,7th Phase JP Nagar,1050.0,2,68.0,2
143,7th Phase JP Nagar,1000.0,2,60.0,2
144,7th Phase JP Nagar,1680.0,3,125.0,3
145,7th Phase JP Nagar,1050.0,2,77.47,2
146,7th Phase JP Nagar,1270.0,2,80.0,2
147,7th Phase JP Nagar,1680.0,3,122.0,3
148,7th Phase JP Nagar,1130.0,2,85.0,2
149,7th Phase JP Nagar,1680.0,3,130.0,3
150,7th Phase JP Nagar,980.0,2,77.44,2
151,7th Phase JP Nagar,1680.0,3,112.0,3
152,7th Phase JP Nagar,2095.0,3,150.0,3
153,7th Phase JP Nagar,1976.0,3,145.0,3
154,7th Phase JP Nagar,1600.0,2,110.0,3
155,7th Phase JP Nagar,1765.0,3,118.0,3
156,7th Phase JP Nagar,1275.0,2,88.0,3
157,7th Phase JP Nagar,1450.0,2,102.0,3
158,7th Phase JP Nagar,1575.0,2,110.0,3
159,7th Phase JP Nagar,750.0,1,47.0,1
160,7th Phase JP Nagar,990.0,2,50.0,2
161,7th Phase JP Nagar,1000.0,1,60.0,1
162,7th Phase JP Nagar,1430.0,2,102.0,3
163,7th Phase JP Nagar,1128.0,2,60.0,2
164,7th Phase JP Nagar,1140.0,2,57.0,2
165,7th Phase JP Nagar,1420.0,3,90.0,3
166,7th Phase JP Nagar,1530.0,2,108.0,2
167,8th Phase JP Nagar,451.0,1,29.9,1
168,8th Phase JP Nagar,1062.0,2,42.47,2
169,8th Phase JP Nagar,1455.0,3,73.31,3
170,8th Phase JP Nagar,871.0,2,55.0,2
171,8th Phase JP Nagar,1098.0,2,43.91,2
172,8th Phase JP Nagar,1800.0,3,80.0,3
173,8th Phase JP Nagar,2700.0,4,130.0,4
174,8th Phase JP Nagar,1080.0,2,38.0,2
175,8th Phase JP Nagar,1059.0,2,34.5,2
176,8th Phase JP Nagar,1080.0,2,35.0,2
177,8th Phase JP Nagar,1062.0,2,42.47,2
178,8th Phase JP Nagar,500.0,1,31.0,1
179,8th Phase JP Nagar,1100.0,2,35.0,2
180,8th Phase JP Nagar,2100.0,4,92.0,4
181,8th Phase JP Nagar,1035.0,2,39.33,2
182,8th Phase JP Nagar,909.0,2,40.9,2
183,8th Phase JP Nagar,1900.0,4,90.0,3
184,8th Phase JP Nagar,500.0,1,30.0,1
185,8th Phase JP Nagar,1125.0,2,36.94,2
186,8th Phase JP Nagar,1100.0,2,35.0,2
187,8th Phase JP Nagar,1089.0,2,43.55,2
188,8th Phase JP Nagar,1504.0,2,83.0,3
189,8th Phase JP Nagar,2600.0,4,115.0,4
190,8th Phase JP Nagar,1089.0,2,43.55,2
191,8th Phase JP Nagar,1513.0,2,62.0,2
192,8th Phase JP Nagar,1298.0,2,59.0,2
193,8th Phase JP Nagar,1006.0,2,44.0,2
194,8th Phase JP Nagar,500.0,1,33.0,1
195,8th Phase JP Nagar,1160.0,2,95.0,2
196,8th Phase JP Nagar,1245.0,2,59.0,2
197,8th Phase JP Nagar,1510.0,2,80.0,2
198,8th Phase JP Nagar,3300.0,3,165.0,3
199,8th Phase JP Nagar,1730.0,5,75.0,5
200,8th Phase JP Nagar,1046.0,2,48.0,2
201,8th Phase JP Nagar,1408.0,3,80.0,3
202,9th Phase JP Nagar,1005.0,2,50.0,2
203,9th Phase JP Nagar,1100.0,2,65.0,2
204,9th Phase JP Nagar,1080.0,2,37.0,2
205,9th Phase JP Nagar,1035.0,2,45.0,2
206,9th Phase JP Nagar,5000.0,4,290.0,4
207,9th Phase JP Nagar,1164.0,2,56.0,2
208,9th Phase JP Nagar,1005.0,2,42.0,2
209,9th Phase JP Nagar,1127.0,2,50.0,2
210,9th Phase JP Nagar,1005.0,2,43.0,2
211,9th Phase JP Nagar,835.0,2,37.0,2
212,9th Phase JP Nagar,1050.0,2,39.0,2
213,9th Phase JP Nagar,660.0,2,27.0,2
214,9th Phase JP Nagar,600.0,1,20.0,1
215,9th Phase JP Nagar,1466.0,2,71.0,2
216,9th Phase JP Nagar,1890.0,2,93.0,3
217,9th Phase JP Nagar,1079.0,2,60.0,2
218,9th Phase JP Nagar,1480.0,2,80.0,2
219,9th Phase JP Nagar,1200.0,2,80.0,2
220,9th Phase JP Nagar,905.0,2,32.0,2
221,9th Phase JP Nagar,1073.0,2,52.36,2
222,9th Phase JP Nagar,1719.3,2,88.0,3
223,9th Phase JP Nagar,1780.0,3,88.0,3
224,9th Phase JP Nagar,1522.0,3,90.0,3
225,9th Phase JP Nagar,890.0,2,45.0,2
226,9th Phase JP Nagar,5000.0,4,300.0,4
227,9th Phase JP Nagar,1050.0,2,35.0,2
228,9th Phase JP Nagar,1331.95,2,69.0,2
229,AECS Layout,1100.0,2,45.0,2
230,AECS Layout,1028.0,2,42.0,2
231,AECS Layout,1199.0,2,65.0,2
232,AECS Layout,1080.0,2,55.0,2
233,AECS Layout,1123.0,2,64.0,2
234,AECS Layout,1308.0,2,60.0,2
235,AECS Layout,1005.0,2,55.0,2
236,Abbigere,985.0,2,40.39,2
237,Abbigere,2200.0,6,68.0,6
238,Abbigere,765.0,2,30.0,1
239,Abbigere,880.0,2,35.0,2
240,Abbigere,795.0,2,32.54,2
241,Abbigere,1005.0,2,39.59,2
242,Abbigere,734.0,1,19.82,1
243,Abbigere,1020.0,2,41.82,2
244,Abbigere,985.0,2,40.39,2
245,Abbigere,2500.0,6,81.0,6
246,Abbigere,795.0,2,32.54,2
247,Abbigere,1130.0,2,46.33,2
248,Abbigere,795.0,1,32.6,2
249,Abbigere,3000.0,8,150.0,8
250,Abbigere,985.0,2,38.92,2
251,Abbigere,1000.0,2,41.0,2
252,Abbigere,995.0,2,40.8,2
253,Abbigere,1020.0,2,40.8,2
254,Akshaya Nagar,1388.0,2,57.0,2
255,Akshaya Nagar,1070.0,2,54.0,2
256,Akshaya Nagar,1280.0,2,58.0,2
257,Akshaya Nagar,1662.0,3,85.1,3
258,Akshaya Nagar,1897.0,3,120.0,3
259,Akshaya Nagar,1410.0,2,75.0,3
260,Akshaya Nagar,1360.0,2,85.0,3
261,Akshaya Nagar,1410.0,2,80.0,3
262,Akshaya Nagar,1662.0,3,85.0,3
263,Akshaya Nagar,1662.0,3,85.5,3
264,Akshaya Nagar,1280.0,2,60.0,2
265,Akshaya Nagar,1666.0,3,95.0,3
266,Akshaya Nagar,1575.0,3,90.0,3
267,Akshaya Nagar,1430.0,2,75.0,3
268,Akshaya Nagar,1419.0,2,73.0,3
269,Akshaya Nagar,1280.0,2,60.0,2
270,Akshaya Nagar,1200.0,2,50.0,2
271,Akshaya Nagar,1092.0,2,60.0,2
272,Akshaya Nagar,1690.0,3,85.0,3
273,Akshaya Nagar,1897.0,4,93.0,3
274,Akshaya Nagar,1884.0,3,98.0,3
275,Akshaya Nagar,1314.0,2,68.8,2
276,Akshaya Nagar,1690.0,3,85.0,3
277,Akshaya Nagar,1265.0,2,67.0,2
278,Akshaya Nagar,1126.0,2,55.0,2
279,Akshaya Nagar,1662.0,3,90.0,3
280,Akshaya Nagar,1420.0,2,75.0,3
281,Akshaya Nagar,1412.0,2,88.0,3
282,Akshaya Nagar,1434.0,3,84.0,3
283,Akshaya Nagar,1890.0,4,100.0,3
284,Akshaya Nagar,1419.0,2,87.0,3
285,Akshaya Nagar,1300.0,2,54.0,2
286,Akshaya Nagar,1690.0,3,85.0,3
287,Akshaya Nagar,1113.0,2,52.0,2
288,Akshaya Nagar,1820.0,4,95.0,3
289,Akshaya Nagar,1100.0,2,48.0,2
290,Akshaya Nagar,1896.0,3,102.0,3
291,Akshaya Nagar,1300.0,2,66.0,2
292,Akshaya Nagar,1225.0,2,68.0,2
293,Akshaya Nagar,1179.0,2,51.0,2
294,Akshaya Nagar,1421.0,2,73.0,3
295,Akshaya Nagar,1893.0,4,95.0,3
296,Akshaya Nagar,900.0,2,45.0,2
297,Ambalipura,1105.0,2,75.0,2
298,Ambalipura,1800.0,3,110.0,3
299,Ambalipura,1150.0,2,80.0,2
300,Ambalipura,1250.0,2,66.25,2
301,Ambalipura,1332.0,2,79.0,2
302,Ambalipura,1730.0,3,120.0,3
303,Ambalipura,1230.0,2,66.25,2
304,Ambalipura,1351.0,2,77.0,2
305,Ambalipura,1303.0,2,80.0,2
306,Ambalipura,1607.0,2,112.0,3
307,Ambalipura,770.0,1,43.82,1
308,Ambalipura,1700.0,2,76.0,2
309,Ambalipura,1060.0,2,58.5,2
310,Ambalipura,1650.0,3,100.0,3
311,Ambalipura,1607.0,2,112.0,3
312,Ambalipura,1198.0,2,80.0,2
313,Ambedkar Nagar,1935.0,4,130.0,3
314,Ambedkar Nagar,1424.0,2,90.0,2
315,Ambedkar Nagar,2225.0,4,169.0,3
316,Ambedkar Nagar,1862.0,3,120.0,3
317,Ambedkar Nagar,1850.0,4,139.0,3
318,Ambedkar Nagar,1936.0,4,126.0,3
319,Ambedkar Nagar,1862.0,3,119.0,3
320,Ambedkar Nagar,1424.0,2,90.0,2
321,Ambedkar Nagar,2150.0,4,125.0,3
322,Ambedkar Nagar,3530.0,4,290.0,4
323,Ambedkar Nagar,1856.0,3,120.0,3
324,Ambedkar Nagar,1852.0,3,130.0,3
325,Ambedkar Nagar,1850.0,4,120.0,3
326,Ambedkar Nagar,1367.0,2,86.0,2
327,Ambedkar Nagar,3565.0,4,255.0,4
328,Ambedkar Nagar,1409.0,2,95.0,2
329,Ambedkar Nagar,1950.0,4,120.0,3
330,Ambedkar Nagar,1921.0,4,129.0,3
331,Ambedkar Nagar,1920.0,4,121.0,3
332,Ambedkar Nagar,1935.0,4,125.0,3
333,Ambedkar Nagar,1852.0,4,122.0,3
334,Ambedkar Nagar,1950.0,4,120.0,3
335,Ambedkar Nagar,1852.0,3,125.0,3
336,Ambedkar Nagar,1850.0,4,121.0,3
337,Ambedkar Nagar,1425.0,2,94.0,2
338,Ambedkar Nagar,2395.0,4,150.0,3
339,Amruthahalli,900.0,2,40.0,2
340,Amruthahalli,1200.0,2,55.0,2
341,Amruthahalli,1900.0,3,135.0,3
342,Amruthahalli,924.0,2,45.0,2
343,Amruthahalli,900.0,2,60.0,2
344,Amruthahalli,1100.0,2,45.0,2
345,Amruthahalli,1200.0,2,55.0,2
346,Amruthahalli,1450.0,2,85.0,3
347,Amruthahalli,1200.0,2,55.0,2
348,Amruthahalli,1250.0,2,79.0,2
349,Amruthahalli,1190.0,2,50.0,2
350,Amruthahalli,1202.0,2,65.0,2
351,Amruthahalli,1340.0,2,75.0,2
352,Amruthahalli,2650.0,4,175.0,3
353,Amruthahalli,1450.0,2,90.0,3
354,Amruthahalli,1025.0,2,42.0,2
355,Amruthahalli,485.0,1,19.5,1
356,Anandapura,1167.0,2,43.76,2
357,Anandapura,1000.0,2,55.0,2
358,Anandapura,1141.0,2,42.79,2
359,Anandapura,1200.0,2,67.0,2
360,Anandapura,1200.0,2,58.0,2
361,Anandapura,1151.0,2,43.1,2
362,Anandapura,1141.0,2,42.75,2
363,Anandapura,900.0,2,48.0,2
364,Anandapura,1749.0,4,90.0,4
365,Anandapura,1151.0,2,42.9,2
366,Anandapura,1250.0,2,45.0,2
367,Anandapura,1151.0,2,43.16,2
368,Anandapura,1200.0,2,58.0,2
369,Anandapura,1200.0,2,66.0,3
370,Anandapura,1415.0,2,74.0,3
371,Anandapura,1200.0,2,50.0,2
372,Anandapura,1141.0,2,50.0,2
373,Ananth Nagar,500.0,1,14.0,1
374,Ananth Nagar,1100.0,2,31.5,2
375,Ananth Nagar,982.0,2,24.55,2
376,Ananth Nagar,500.0,2,14.0,1
377,Ananth Nagar,900.0,2,22.5,2
378,Ananth Nagar,908.0,2,26.0,2
379,Ananth Nagar,870.0,2,36.0,2
380,Ananth Nagar,937.0,2,35.0,2
381,Ananth Nagar,960.0,2,37.0,2
382,Ananth Nagar,500.0,1,14.0,1
383,Ananth Nagar,1000.0,2,29.7,2
384,Ananth Nagar,850.0,2,25.99,2
385,Ananth Nagar,902.0,2,25.26,2
386,Ananth Nagar,1470.0,3,54.0,3
387,Ananth Nagar,810.0,2,25.5,2
388,Ananth Nagar,890.0,2,27.0,2
389,Ananth Nagar,1200.0,2,36.0,2
390,Ananth Nagar,1319.0,3,42.0,3
391,Ananth Nagar,1000.0,2,25.0,2
392,Ananth Nagar,902.0,2,25.0,2
393,Ananth Nagar,930.0,2,25.99,2
394,Ananth Nagar,1074.0,2,26.85,2
395,Ananth Nagar,500.0,1,14.0,1
396,Ananth Nagar,1010.0,2,38.0,2
397,Ananth Nagar,992.0,2,24.8,2
398,Anekal,656.0,2,22.0,2
399,Anekal,620.0,2,22.0,2
400,Anekal,600.0,1,16.5,1
401,Anekal,925.0,2,40.0,2
402,Anekal,530.0,1,18.0,1
403,Anekal,1800.0,3,68.0,3
404,Anekal,351.0,1,16.0,1
405,Anekal,1035.0,2,38.3,2
406,Anekal,888.0,2,34.0,2
407,Anekal,1200.0,2,36.0,4
408,Anekal,766.0,2,28.0,2
409,Anekal,967.0,2,45.0,3
410,Anekal,620.0,1,23.5,2
411,Anekal,1150.0,3,45.0,3
412,Anekal,400.0,1,11.5,1
413,Anekal,456.0,1,15.0,1
414,Anekal,2400.0,4,95.0,3
415,Anekal,420.0,1,12.5,1
416,Anekal,614.0,1,28.0,2
417,Anekal,1140.0,2,52.0,2
418,Anekal,625.0,1,25.0,2
419,Anjanapura,1850.0,4,86.0,4
420,Anjanapura,1070.0,2,39.0,2
421,Anjanapura,1500.0,3,121.0,3
422,Anjanapura,1070.0,2,37.0,2
423,Anjanapura,950.0,2,40.0,2
424,Anjanapura,1280.0,2,45.0,3
425,Anjanapura,710.0,2,25.0,2
426,Anjanapura,950.0,2,32.0,2
427,Anjanapura,1800.0,4,55.0,4
428,Anjanapura,1843.0,3,87.54,3
429,Anjanapura,1076.0,2,30.13,2
430,Anjanapura,950.0,2,30.0,2
431,Ardendale,1750.0,3,100.0,3
432,Ardendale,3198.0,4,200.0,4
433,Ardendale,2422.0,4,160.0,4
434,Ardendale,1750.0,3,100.0,3
435,Ardendale,3200.0,4,205.0,4
436,Ardendale,1728.0,3,95.0,3
437,Ardendale,2062.0,3,140.0,4
438,Ardendale,1732.46,3,92.0,3
439,Ardendale,2062.0,3,150.0,4
440,Ardendale,1224.0,2,70.0,2
441,Ardendale,1777.26,3,105.0,3
442,Ardendale,1650.0,3,82.0,3
443,Ardendale,2062.0,3,140.0,4
444,Ardendale,1650.0,3,82.0,3
445,Ardendale,1224.0,2,67.0,2
446,Ardendale,1723.0,3,95.0,3
447,Ardendale,1777.26,3,89.0,3
448,Ardendale,1777.26,3,92.0,3
449,Arekere,2060.0,3,140.0,3
450,Arekere,920.0,2,40.0,2
451,Arekere,1740.0,2,95.0,3
452,Arekere,1190.0,2,55.0,2
453,Arekere,600.0,1,28.0,1
454,Arekere,2072.0,3,108.0,3
455,Arekere,1100.0,2,55.0,2
456,Arekere,900.0,2,50.0,2
457,Arekere,2710.0,6,142.0,4
458,Arekere,1240.0,2,60.0,2
459,Arekere,900.0,2,44.5,2
460,Attibele,450.0,1,11.0,1
461,Attibele,1600.0,4,52.8,4
462,Attibele,656.0,2,25.0,2
463,Attibele,400.0,1,11.0,1
464,Attibele,400.0,1,12.0,1
465,Attibele,400.0,1,14.0,1
466,Attibele,500.0,1,17.0,1
467,Attibele,2168.0,4,95.0,4
468,Attibele,395.0,1,10.25,1
469,Attibele,420.0,1,17.0,1
470,Attibele,418.0,1,12.0,1
471,Attibele,1200.0,2,42.0,2
472,Attibele,400.0,1,10.0,1
473,Attibele,695.0,1,25.0,2
474,Attibele,850.0,1,25.0,2
475,Attibele,2400.0,3,120.0,3
476,Attibele,450.0,1,12.5,1
477,Attibele,782.0,1,19.55,1
478,Attibele,656.0,2,25.0,2
479,Attibele,400.0,1,11.5,1
480,Attibele,460.0,1,13.0,1
481,Attibele,418.0,2,11.5,1
482,Attibele,1000.0,2,42.0,2
483,Attibele,550.0,1,11.5,1
484,Attibele,410.0,1,10.0,1
485,Attibele,1700.0,3,65.0,3
486,Attibele,400.0,1,10.25,1
487,Attibele,656.0,2,25.0,2
488,Attibele,1500.0,3,90.0,3
489,Attibele,520.0,1,15.0,1
490,BEML Layout,1060.0,2,55.0,2
491,BEML Layout,999.0,2,45.0,2
492,BEML Layout,2400.0,4,225.0,5
493,BEML Layout,1194.0,2,65.0,2
494,BEML Layout,1200.0,2,67.0,2
495,BEML Layout,2400.0,2,228.0,2
496,BEML Layout,1194.0,2,65.0,2
497,BTM 2nd Stage,1260.0,5,185.0,3
498,BTM 2nd Stage,950.0,2,52.0,2
499,BTM 2nd Stage,1850.0,3,170.0,3
500,BTM 2nd Stage,1200.0,2,80.0,2
501,BTM 2nd Stage,1274.0,2,70.0,2
502,BTM 2nd Stage,1070.0,2,48.0,2
503,BTM 2nd Stage,1280.0,2,80.0,2
504,BTM 2nd Stage,1100.0,2,70.0,2
505,BTM 2nd Stage,1000.0,2,58.0,2
506,BTM 2nd Stage,2990.0,5,416.0,5
507,BTM 2nd Stage,1265.0,2,55.0,2
508,BTM 2nd Stage,2200.0,3,220.0,3
509,BTM 2nd Stage,2780.0,4,325.0,3
510,BTM 2nd Stage,2400.0,2,360.0,3
511,BTM 2nd Stage,965.0,2,56.0,2
512,BTM 2nd Stage,1147.0,2,75.0,2
513,BTM 2nd Stage,1750.0,3,172.0,3
514,BTM 2nd Stage,1400.0,2,90.0,2
515,BTM 2nd Stage,1200.0,2,70.0,2
516,BTM 2nd Stage,1100.0,2,47.0,2
517,BTM 2nd Stage,930.0,2,46.0,2
518,BTM 2nd Stage,2500.0,3,345.0,3
519,BTM Layout,1150.0,2,63.0,2
520,BTM Layout,3300.0,6,165.0,6
521,BTM Layout,1450.0,2,81.0,3
522,BTM Layout,1776.0,2,75.0,3
523,BTM Layout,1458.0,3,79.0,3
524,BTM Layout,935.0,2,51.5,2
525,BTM Layout,1020.0,2,46.5,2
526,BTM Layout,1600.0,3,112.0,3
527,BTM Layout,1300.0,2,75.0,3
528,BTM Layout,1540.0,2,78.0,3
529,BTM Layout,450.0,1,20.0,1
530,BTM Layout,1196.0,2,56.81,2
531,BTM Layout,1470.0,2,99.0,3
532,Babusapalaya,1611.0,2,66.0,3
533,Babusapalaya,1675.0,3,75.0,3
534,Babusapalaya,1141.0,2,46.0,2
535,Babusapalaya,1500.0,2,57.0,2
536,Babusapalaya,1050.0,2,45.0,2
537,Babusapalaya,1141.0,2,45.9,2
538,Babusapalaya,1230.0,3,53.0,3
539,Babusapalaya,1105.0,2,40.0,2
540,Babusapalaya,1410.0,2,65.0,3
541,Babusapalaya,1450.0,2,55.99,2
542,Babusapalaya,1100.0,2,38.0,2
543,Babusapalaya,1061.0,2,33.84,2
544,Babusapalaya,1061.0,2,38.95,2
545,Babusapalaya,1061.0,2,34.0,2
546,Babusapalaya,1245.0,2,58.0,2
547,Badavala Nagar,1494.0,2,94.55,3
548,Badavala Nagar,1274.0,2,81.0,2
549,Badavala Nagar,1842.0,3,115.0,3
550,Badavala Nagar,1494.0,2,94.55,3
551,Badavala Nagar,1274.0,2,81.0,2
552,Badavala Nagar,1494.0,2,94.55,3
553,Badavala Nagar,1842.0,3,115.0,3
554,Badavala Nagar,1842.0,3,115.0,3
555,Badavala Nagar,1842.0,3,115.0,3
556,Balagere,1210.0,2,80.9,2
557,Balagere,1205.0,2,78.5,2
558,Balagere,1020.07,2,68.38,2
559,Balagere,1205.47,2,81.0,2
560,Balagere,1007.0,2,65.0,2
561,Balagere,1210.0,2,74.0,2
562,Balagere,1210.0,2,83.0,2
563,Balagere,675.0,1,45.0,1
564,Balagere,656.0,1,43.0,1
565,Balagere,1012.0,2,64.0,2
566,Balagere,1007.0,2,62.0,2
567,Balagere,1007.0,2,67.0,2
568,Balagere,1007.0,2,66.0,2
569,Balagere,645.0,1,34.18,1
570,Balagere,1012.0,2,65.0,2
571,Balagere,656.0,1,38.77,1
572,Balagere,645.0,1,39.0,1
573,Balagere,645.0,1,41.0,1
574,Balagere,1210.0,2,82.0,2
575,Balagere,656.0,1,34.77,1
576,Balagere,1205.0,2,73.87,2
